,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
92,Florida State,25,12,13,.480,9.86,7.90,,5,7,,9,5,,3,5,,2009,1960,,73.3,107.0,.337,.440,.555,51.4,55.7,9.8,12.4,.522,16.9,32.6,.245
93,Fordham,26,14,12,.538,0.25,-1.58,,5,8,,8,7,,4,4,,1840,1693,,65.8,98.5,.281,.413,.516,44.3,60.3,9.2,7.8,.488,15.5,24.3,.195
94,Fresno State,25,12,13,.480,4.64,4.19,,6,8,,9,6,,2,7,,1843,1795,,70.4,102.1,.308,.441,.534,49.8,51.2,10.8,10.3,.501,17.0,29.6,.222
95,Furman,27,17,10,.630,-2.96,-5.54,,8,6,,10,4,,6,4,,2073,1898,,67.2,103.1,.272,.422,.514,45.9,49.0,11.6,10.3,.482,12.6,26.9,.197
96,Gardner-Webb,27,3,24,.111,-23.88,-0.67,,1,11,,3,9,,0,13,,1856,2370,,71.6,122.7,.357,.411,.606,56.3,56.5,11.6,9.7,.579,13.3,35.5,.259
97,George Mason,26,21,5,.808,6.58,-0.02,,9,4,,15,1,,4,4,,1938,1749,,65.6,102.5,.282,.437,.521,46.8,52.8,9.8,9.8,.490,14.5,28.1,.202
98,George Washington,26,15,11,.577,10.11,1.83,,6,7,,11,3,,2,5,,2163,1899,,70.8,103.1,.323,.422,.541,45.7,58.9,10.5,10.1,.509,16.1,28.1,.230
99,Georgetown,25,13,12,.520,8.68,6.60,,5,9,,9,5,,4,5,,1882,1830,,67.2,107.3,.356,.417,.536,49.1,53.0,8.5,8.6,.498,14.0,30.9,.258
100,Georgia,25,17,8,.680,18.79,6.83,,5,7,,11,4,,4,3,,2258,1959,,74.5,103.2,.297,.363,.519,49.3,47.9,9.5,9.8,.489,16.2,35.6,.207
101,Georgia Southern,27,15,12,.556,-7.57,-6.45,,7,7,,9,5,,6,5,,2190,2157,,72.2,109.2,.393,.389,.555,53.1,45.6,9.0,10.2,.513,16.2,34.4,.290
102,Georgia State,27,9,18,.333,-10.64,-3.64,,6,8,,6,4,,3,12,,1903,2006,,69.3,106.7,.346,.391,.535,52.3,54.1,8.6,8.9,.504,14.7,32.2,.239
103,Georgia Tech,26,11,15,.423,2.98,4.78,,2,11,,10,6,,1,7,,1937,1984,,71.6,106.1,.343,.440,.527,48.9,55.2,10.7,10.7,.492,13.2,29.9,.241
