,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
13,Arkansas,25,19,6,.760,23.43,11.15,,9,3,,14,1,,4,3,,2219,1912,,1000,795,1576,.504,206,555,.371,423,573,.738,270,903,432,184,133,229,408
14,Arkansas State,27,16,11,.593,-0.33,-2.81,,7,7,,9,4,,7,7,,2227,2093,,1095,757,1687,.449,255,764,.334,458,618,.741,386,1108,431,214,67,383,508
15,Arkansas-Pine Bluff,26,11,15,.423,-14.26,-3.96,,8,5,,6,2,,5,13,,2013,2145,,1045,696,1558,.447,203,582,.349,418,552,.757,274,886,406,182,80,363,523
16,Army,27,10,17,.370,-15.04,-6.32,,4,10,,6,8,,4,8,,1954,2090,,1105,680,1650,.412,291,867,.336,303,431,.703,320,973,403,154,41,319,497
17,Auburn,25,14,11,.560,18.60,13.68,,5,7,,9,3,,2,5,,2099,1976,,1010,696,1512,.460,193,585,.330,514,693,.742,342,923,326,189,105,250,439
18,Austin Peay,25,19,6,.760,0.15,-5.98,,13,1,,12,0,,7,6,,2051,1778,,1000,708,1507,.470,221,603,.367,414,552,.750,263,890,407,247,67,272,417
19,Ball State,25,8,17,.320,-11.85,-3.81,,3,9,,5,6,,2,10,,1659,1751,,1000,580,1406,.413,169,554,.305,330,473,.698,241,788,304,194,66,270,389
20,Baylor,25,13,12,.520,16.33,11.41,,3,9,,9,5,,2,5,,2084,1903,,1000,731,1527,.479,211,596,.354,411,563,.730,319,946,394,163,115,291,409
21,Bellarmine,26,11,15,.423,-8.96,-3.80,,6,8,,8,3,,2,12,,2063,2109,,1050,730,1415,.516,222,580,.383,381,483,.789,163,727,397,161,43,272,424
22,Belmont,28,24,4,.857,9.55,-0.34,,14,3,,11,2,,11,2,,2346,2032,,1130,841,1629,.516,295,733,.402,369,541,.682,258,1025,513,174,98,364,497
23,Bethune-Cookman,26,13,13,.500,-9.13,-4.69,,10,3,,8,1,,5,10,,1943,2013,,1055,686,1502,.457,155,464,.334,416,606,.686,275,936,354,186,120,357,473
24,Binghamton,27,5,22,.185,-21.54,-9.67,,1,11,,5,8,,0,13,,1808,2032,,1105,611,1381,.442,138,445,.310,448,598,.749,191,858,307,145,85,339,458
25,Boise State,25,15,10,.600,12.87,8.78,,7,7,,9,4,,4,4,,1983,1864,,1030,647,1429,.453,211,606,.348,478,615,.777,259,895,347,124,56,292,447
