
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
73,Drexel,26,13,13,.500,-5.14,-4.62,,7,6,,10,4,,3,7,,1783,1762,,66.0,103.9,.296,.403,.531,50.5,55.2,9.5,10.3,.510,16.1,31.7,.192
74,Duke,25,23,2,.920,29.82,10.70,,12,1,,12,0,,8,1,,2056,1578,,68.0,121.0,.382,.442,.600,57.1,58.5,11.9,11.0,.572,13.9,36.7,.274
75,Duquesne,25,15,10,.600,4.85,1.46,,7,5,,10,5,,5,4,,2060,1911,,71.2,113.5,.383,.442,.583,51.1,57.5,10.9,8.0,.553,15.3,30.5,.274
76,East Carolina,25,9,16,.360,-6.33,0.05,,4,8,,6,8,,3,6,,1757,1909,,69.1,101.2,.393,.314,.504,49.9,47.6,9.2,11.5,.458,14.6,33.0,.279
77,East Tennessee State,27,19,8,.704,0.92,-7.40,,11,3,,13,3,,6,5,,2115,1839,,67.3,115.3,.340,.379,.584,52.0,52.7,13.4,12.2,.548,13.1,29.8,.260
78,East Texas A&M,27,10,17,.370,-10.89,-0.69,,5,12,,5,6,,4,11,,1909,2034,,70.5,100.2,.308,.464,.532,47.2,65.4,10.2,8.8,.504,16.9,26.3,.213
79,Eastern Illinois,27,11,16,.407,-13.24,-4.74,,7,9,,9,4,,2,12,,1815,1897,,67.2,99.1,.332,.311,.518,48.2,51.6,11.2,9.0,.478,16.4,29.1,.243
80,Eastern Kentucky,27,9,18,.333,-9.05,-3.61,,5,9,,7,5,,2,13,,2160,2179,,70.2,112.4,.305,.506,.551,50.4,51.7,10.2,8.9,.520,14.1,34.1,.220
81,Eastern Michigan,26,9,17,.346,-5.13,-1.29,,3,10,,6,5,,3,12,,1850,1908,,68.3,103.2,.291,.325,.532,49.9,48.6,8.8,10.6,.501,15.0,29.0,.210
82,Eastern Washington,26,9,17,.346,-3.18,0.70,,7,6,,6,3,,3,13,,2004,2083,,69.3,110.2,.338,.349,.566,49.3,47.5,8.6,8.5,.529,15.6,31.2,.256
83,Elon,27,14,13,.519,-3.04,-2.76,,6,8,,8,6,,6,7,,2186,2111,,68.5,116.0,.341,.429,.568,50.7,54.4,9.9,9.0,.538,12.9,34.0,.243
84,Evansville,26,6,20,.231,-7.78,3.39,,2,13,,4,8,,1,10,,1752,1949,,67.7,98.6,.311,.423,.531,47.3,55.4,8.2,10.3,.498,17.2,24.4,.223
85,Fairfield,27,16,11,.593,-8.35,-8.74,,8,8,,10,3,,6,8,,2040,1967,,67.7,111.1,.278,.368,.526,52.7,44.3,9.7,9.7,.495,12.2,36.2,.200
86,FDU,27,10,17,.370,-13.66,-6.45,,7,7,,8,5,,2,12,,1833,1882,,65.0,103.9,.323,.465,.517,52.2,50.9,7.9,5.2,.482,15.1,33.5,.229
87,Florida,25,19,6,.760,27.34,12.30,,10,2,,11,1,,5,2,,2162,1786,,72.7,118.9,.393,.390,.561,59.4,53.2,9.3,12.7,.527,13.2,42.6,.276
88,Florida A&M,23,9,14,.391,-16.55,-7.26,,6,6,,6,3,,2,11,,1591,1768,,70.6,97.4,.379,.386,.528,48.2,51.4,11.3,8.2,.495,19.4,29.3,.256
