,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
143,Portland State,Big Sky,,,17,7,77.8,69.8,8.00,,-2.34,,-3.02,4.06,1.04,102.17,101.71,0.46
144,East Tennessee State,Southern,,,19,8,78.3,68.1,10.22,,-7.35,,-1.10,2.08,0.98,108.02,107.68,0.35
145,Winthrop,Big South,,,19,8,85.0,74.6,10.44,,-4.30,,4.54,-3.79,0.74,110.16,110.63,-0.47
146,Texas-Rio Grande Valley,Southland,,,15,12,75.5,69.4,6.07,,-1.32,,-1.72,2.36,0.64,105.87,106.07,-0.19
147,Northern Colorado,Big Sky,,,17,10,83.0,76.7,6.26,,-1.81,,4.11,-3.50,0.61,110.04,110.21,-0.18
148,Temple,American,,,15,10,74.7,70.4,4.24,,-1.90,,-0.52,1.11,0.60,109.23,109.72,-0.50
149,Middle Tennessee,CUSA,,,12,13,75.4,72.9,2.52,,3.08,,-0.42,1.00,0.58,108.58,109.02,-0.44
150,Oregon State,WCC,,,14,14,70.2,73.5,-3.25,,3.53,,-2.10,2.38,0.28,108.06,109.38,-1.32
151,Fordham,A-10,,,14,12,70.8,65.1,5.65,,-1.58,,-6.97,7.21,0.25,102.88,104.18,-1.30
152,Wright State,Horizon,,,17,10,80.3,72.9,7.37,,-3.68,,0.07,0.13,0.20,108.81,109.52,-0.71
153,Western Kentucky,CUSA,,,14,11,77.5,74.6,2.84,,0.26,,-0.02,0.19,0.17,103.22,104.37,-1.15
154,Austin Peay,A-Sun,,,19,6,82.0,71.1,10.92,,-5.98,,-0.26,0.41,0.15,105.80,106.39,-0.58
155,Saint Joseph's,A-10,,,15,10,73.6,71.4,2.20,,0.36,,-2.01,2.11,0.09,103.57,104.79,-1.22
156,Troy,Sun Belt,,,17,10,81.7,74.7,7.00,,-2.75,,2.46,-2.41,0.05,108.59,109.66,-1.08
157,New Mexico State,CUSA,,,12,13,75.8,71.1,4.72,,-0.87,,0.01,0.04,0.04,109.15,110.28,-1.13
158,Kent State,MAC,,,19,7,86.0,80.0,5.96,,-1.99,,6.07,-6.06,0.01,107.22,108.74,-1.52
159,Valparaiso,MVC,,,14,13,71.3,71.0,0.37,,1.01,,-3.56,3.41,-0.14,104.74,105.76,-1.02
160,UC Davis,Big West,,,16,10,77.9,74.3,3.62,,-0.72,,-0.15,-0.11,-0.27,106.10,107.04,-0.94
161,Arkansas State,Sun Belt,,,16,11,82.5,77.5,4.96,,-2.81,,5.17,-5.50,-0.33,108.27,110.04,-1.78
162,Montana,Big Sky,,,14,12,78.4,73.3,5.08,,0.30,,0.22,-0.65,-0.42,105.65,107.02,-1.36
163,Oakland,Horizon,,,14,13,82.7,82.1,0.63,,1.36,,7.00,-7.52,-0.53,112.13,114.04,-1.91
164,Cal State Northridge,Big West,,,16,10,82.0,79.0,3.00,,-0.72,,5.81,-6.45,-0.64,106.48,108.12,-1.64
165,Charlotte,American,,,13,12,73.6,74.1,-0.52,,-0.05,,-1.00,0.25,-0.75,111.66,113.91,-2.26
166,Kennesaw State,CUSA,,,14,11,85.1,76.8,8.32,,-1.94,,5.48,-6.24,-0.76,106.91,109.69,-2.79
167,Idaho,Big Sky,,,14,12,79.5,73.7,5.81,,-1.77,,-0.25,-0.51,-0.77,106.53,109.03,-2.51
168,Toledo,MAC,,,13,13,80.8,77.6,3.23,,-1.16,,2.34,-3.20,-0.86,110.11,112.72,-2.60
169,Tulane,American,,,15,10,72.7,73.6,-0.88,,0.55,,-1.73,0.86,-0.86,106.20,108.27,-2.08
170,Drake,MVC,,,12,16,76.8,75.5,1.21,,1.02,,1.66,-2.56,-0.90,110.51,112.97,-2.45
171,College of Charleston,CAA,,,17,10,75.7,73.9,1.81,,-2.04,,-1.01,0.04,-0.97,103.88,106.60,-2.72
